Dark spectrum
Integration time [ms]:  25,000
Averaging Nr. [scans]: 15
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804344U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
371,484;    9,588;    9,588;    0,000
371,650;   12,437;   12,437;    0,000
371,816;    4,130;    4,130;    0,000
371,982;  -18,876;  -18,876;    0,000
372,147;   -1,166;   -1,166;    0,000
372,313;   -2,639;   -2,639;    0,000
372,479;   -4,982;   -4,982;    0,000
372,645;   15,365;   15,365;    0,000
372,811;    2,246;    2,246;    0,000
372,977;  -28,674;  -28,674;    0,000
373,142;   -0,386;   -0,386;    0,000
373,308;   11,794;   11,794;    0,000
373,474;   26,593;   26,593;    0,000
373,640;   11,325;   11,325;    0,000
373,805;    0,666;    0,666;    0,000
373,971;   23,440;   23,440;    0,000
374,137;  -23,462;  -23,462;    0,000
374,303;   24,900;   24,900;    0,000
374,468;   18,648;   18,648;    0,000
374,634;   18,087;   18,087;    0,000
374,800;   -1,673;   -1,673;    0,000
374,966;    5,975;    5,975;    0,000
375,131;    5,678;    5,678;    0,000
375,297;    5,654;    5,654;    0,000
375,463;    3,384;    3,384;    0,000
375,628;   -7,881;   -7,881;    0,000
375,794;   28,041;   28,041;    0,000
375,960;   18,886;   18,886;    0,000
376,125;  -23,741;  -23,741;    0,000
376,291;   13,287;   13,287;    0,000
376,457;    7,425;    7,425;    0,000
376,622;   -1,070;   -1,070;    0,000
376,788;   24,951;   24,951;    0,000
376,954;    6,844;    6,844;    0,000
377,119;  -10,139;  -10,139;    0,000
377,285;    7,618;    7,618;    0,000
377,451;   -0,419;   -0,419;    0,000
377,616;   26,089;   26,089;    0,000
377,782;    8,620;    8,620;    0,000
377,947;  -17,122;  -17,122;    0,000
378,113;   -0,652;   -0,652;    0,000
378,279;   25,093;   25,093;    0,000
378,444;   22,533;   22,533;    0,000
378,610;   14,580;   14,580;    0,000
378,775;   20,137;   20,137;    0,000
378,941;   20,570;   20,570;    0,000
379,106;   -5,968;   -5,968;    0,000
379,272;  -20,039;  -20,039;    0,000
379,437;    6,756;    6,756;    0,000
379,603;   -9,090;   -9,090;    0,000
379,768;   12,709;   12,709;    0,000
379,934;   -2,400;   -2,400;    0,000
380,100;  -14,466;  -14,466;    0,000
380,265;   -3,597;   -3,597;    0,000
380,431;   -9,709;   -9,709;    0,000
380,596;   19,783;   19,783;    0,000
380,762;    5,749;    5,749;    0,000
380,927;  -15,837;  -15,837;    0,000
381,092;  -10,953;  -10,953;    0,000
381,258;   13,531;   13,531;    0,000
381,423;    5,217;    5,217;    0,000
381,589;  -10,192;  -10,192;    0,000
381,754;  -30,776;  -30,776;    0,000
381,920;   16,982;   16,982;    0,000
382,085;   11,299;   11,299;    0,000
382,251;    8,612;    8,612;    0,000
382,416;   -4,688;   -4,688;    0,000
382,581;   10,306;   10,306;    0,000
382,747;   -1,221;   -1,221;    0,000
382,912;  -12,626;  -12,626;    0,000
383,078;   12,354;   12,354;    0,000
383,243;    5,289;    5,289;    0,000
383,408;    9,335;    9,335;    0,000
383,574;   -7,565;   -7,565;    0,000
383,739;   16,980;   16,980;    0,000
383,904;   12,856;   12,856;    0,000
384,070;   -1,570;   -1,570;    0,000
384,235;    4,171;    4,171;    0,000
384,401;    6,736;    6,736;    0,000
384,566;   10,522;   10,522;    0,000
384,731;    3,848;    3,848;    0,000
384,896;   -0,723;   -0,723;    0,000
385,062;    3,024;    3,024;    0,000
385,227;   21,751;   21,751;    0,000
385,392;   21,025;   21,025;    0,000
385,558;  -21,534;  -21,534;    0,000
385,723;    0,042;    0,042;    0,000
385,888;    0,776;    0,776;    0,000
386,054;   11,511;   11,511;    0,000
386,219;    8,177;    8,177;    0,000
386,384;    3,220;    3,220;    0,000
386,549;  -10,348;  -10,348;    0,000
386,715;   12,390;   12,390;    0,000
386,880;   26,372;   26,372;    0,000
387,045;   -0,835;   -0,835;    0,000
387,210;    1,014;    1,014;    0,000
387,375;  -11,409;  -11,409;    0,000
387,541;   -0,112;   -0,112;    0,000
387,706;   26,577;   26,577;    0,000
387,871;   -6,076;   -6,076;    0,000
388,036;   -6,858;   -6,858;    0,000
388,201;   25,071;   25,071;    0,000
388,367;   -4,924;   -4,924;    0,000
388,532;    7,628;    7,628;    0,000
388,697;    1,216;    1,216;    0,000
388,862;   -5,530;   -5,530;    0,000
389,027;  -12,925;  -12,925;    0,000
389,192;    8,870;    8,870;    0,000
389,358;  -16,243;  -16,243;    0,000
389,523;   23,508;   23,508;    0,000
389,688;    6,165;    6,165;    0,000
389,853;   13,352;   13,352;    0,000
390,018;  -16,611;  -16,611;    0,000
390,183;  -20,003;  -20,003;    0,000
390,348;    0,013;    0,013;    0,000
390,513;   -5,828;   -5,828;    0,000
390,678;   -4,349;   -4,349;    0,000
390,844;   13,830;   13,830;    0,000
391,009;   -4,447;   -4,447;    0,000
391,174;    2,605;    2,605;    0,000
391,339;    0,960;    0,960;    0,000
391,504;  -13,450;  -13,450;    0,000
391,669;    1,481;    1,481;    0,000
391,834;    5,010;    5,010;    0,000
391,999;    0,713;    0,713;    0,000
392,164;   21,999;   21,999;    0,000
392,329;   -3,583;   -3,583;    0,000
392,494;  -16,322;  -16,322;    0,000
392,659;    6,102;    6,102;    0,000
392,824;   14,328;   14,328;    0,000
392,989;    9,831;    9,831;    0,000
393,154;   -3,018;   -3,018;    0,000
393,319;   22,238;   22,238;    0,000
393,484;  -12,553;  -12,553;    0,000
393,649;   15,250;   15,250;    0,000
393,814;   -9,752;   -9,752;    0,000
393,979;    8,646;    8,646;    0,000
394,144;   -7,306;   -7,306;    0,000
394,309;   18,686;   18,686;    0,000
394,474;    0,210;    0,210;    0,000
394,639;   -1,452;   -1,452;    0,000
394,804;   11,619;   11,619;    0,000
394,968;  -14,558;  -14,558;    0,000
395,133;   11,344;   11,344;    0,000
395,298;    2,905;    2,905;    0,000
395,463;   10,400;   10,400;    0,000
395,628;  -10,492;  -10,492;    0,000
395,793;   12,428;   12,428;    0,000
395,958;   -5,262;   -5,262;    0,000
396,123;   18,670;   18,670;    0,000
396,288;   -4,137;   -4,137;    0,000
396,452;   -0,092;   -0,092;    0,000
396,617;  -11,840;  -11,840;    0,000
396,782;   -1,759;   -1,759;    0,000
396,947;    7,064;    7,064;    0,000
397,112;   14,303;   14,303;    0,000
397,277;    1,606;    1,606;    0,000
397,441;   -0,535;   -0,535;    0,000
397,606;    6,058;    6,058;    0,000
397,771;   17,315;   17,315;    0,000
397,936;   -7,625;   -7,625;    0,000
398,101;  -12,294;  -12,294;    0,000
398,265;    3,503;    3,503;    0,000
398,430;   -2,719;   -2,719;    0,000
398,595;    0,374;    0,374;    0,000
398,760;  -17,463;  -17,463;    0,000
398,924;   -6,640;   -6,640;    0,000
399,089;   21,978;   21,978;    0,000
399,254;    4,619;    4,619;    0,000
399,419;  -21,279;  -21,279;    0,000
399,583;   47,380;   47,380;    0,000
